address|lat|lon|state|district
Panapur B.O|26.620773|81.480075|UTTAR PRADESH|BARA BANKI
Molachinthalapally B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Harigram B.O|25.600055|88.203506|WEST BENGAL|UTTAR DINAJPUR
Munnanad GDS B.O|11.491604|76.733652|TAMIL NADU|KRISHNAGIRI
Latibpur B.O|22.475901|88.100118|WEST BENGAL|HAORA
Jahar Colony B.O|22.124297|88.886256|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Jaharpur B.O|22.135238|88.401604|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Rupaspur B.O|26.711174|77.856738|RAJASTHAN|DHAULPUR
Palyun B.O|29.667211|79.770828|UTTARAKHAND|
Mahisgot B.O|22.763814|87.772644|WEST BENGAL|HUGLI
Harni B.O|33.597079|74.238475|JAMMU & KASHMIR|PUNCH
Koppampatti B.O|9.072793|77.908889|TAMIL NADU|THOOTHUKKUDI
Sahrauli B.O|28.607604|77.226258|RAJASTHAN|DHAULPUR
Naraipur S.O|27.122259|84.072238|BIHAR|PASHCHIM CHAMPARAN
Kootampuli B.O|8.722508|78.06662|TAMIL NADU|THOOTHUKKUDI
Jibantala B.O|22.420683|88.665128|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Jibantala Sarangabad B.O|22.406871|88.64196|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Kotia Chitra B.O|25.938038|81.232607|UTTAR PRADESH|RAE BARELI
Islampur S.O (North Dinajpur)|25.619247|88.627771|WEST BENGAL|UTTAR DINAJPUR
Islampur Court S.O|25.578074|88.924461|WEST BENGAL|UTTAR DINAJPUR
Navalgadh B.O|20.163942|73.108405|GUJARAT|BANAS KANTHA
Saipau S.O|26.817721|77.748069|RAJASTHAN|DHAULPUR
Navagam (S) B.O|20.163942|73.108405|GUJARAT|BANAS KANTHA
Jhowkhali B.O|22.030595|88.701265|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Vikrampur S.O|20.840284|85.089569|ODISHA|ANUGUL
Naviyani B.O|20.163942|73.108405|GUJARAT|BANAS KANTHA
Itahar S.O|25.452527|88.173752|WEST BENGAL|UTTAR DINAJPUR
Ital B.O|25.558387|88.068088|WEST BENGAL|UTTAR DINAJPUR
Mandra B.O|22.930688|87.782482|WEST BENGAL|HUGLI
Jaipur B.O|20.682327|76.283392|MAHARASHTRA|BULDANA
Hari Marhote B.O|33.771712|74.094631|JAMMU & KASHMIR|PUNCH
Kotwarmau B.O|26.269617|81.367239|UTTAR PRADESH|RAE BARELI
Kotwa Mohammadabad B.O|26.23|81.25|UTTAR PRADESH|RAE BARELI
Mahulani B.O|27.213056|83.231863|UTTAR PRADESH|KISHANGANJ
Jogidih B.O|24.753103|85.822065|JHARKHAND|KODARMA
Panchamahala B.O|20.915234|83.865857|ODISHA|SAMBALPUR
Hari B.O|33.690377|74.305955|JAMMU & KASHMIR|PUNCH
